src,name,city,state,zip,clia,domain,exa_top_url,error
REF,DIAGNOSTIC LABORATORY SERVICES-KOHALA HOSP,KAPAAU,HI,96755,12D2305342,dlslab.com,https://dlslab.com/locations/big-island-locations/kohala/,
REF,CLINICAL LABS OF HAWAII-KEALAKEKUA,KEALAKEKUA,HI,96750,12D2306255,clinicallabs.com,https://clinicallabs.com/,
REF,CLINICAL LABS OF HAWAII-SURGICARE OF HAWAII,HONOLULU,HI,96813,12D2043122,surgicareofhawaii.com,https://surgicareofhawaii.com/,
REF,INCYTE PATHOLOGY - KOOTENAI HEALTH BRANCH,COEUR D'ALENE,ID,83814,13D2011094,incytepathology.com,https://incytepathology.com/,
REF,IDAHO BUREAU OF LABORATORIES,BOISE,ID,83712,13D0646339,healthandwelfare.idaho.gov,http://healthandwelfare.idaho.gov/Health/Labs/tabid/99/Default.aspx,
REF,IP BOISE 1,BOISE,ID,83704,13D0980387,cityofboise.org,https://www.cityofboise.org/,
REF,RAISE THE BOTTOM TRAINING AND CONSELING SERVICES,BOISE,ID,83709,13D2047419,raisethebottomidaho.com,https://raisethebottomidaho.com/,
REF,BIOLIFE PLASMA SERVICES LP,BOISE,ID,83713,13D2061664,biolifeplasma.com,https://www.biolifeplasma.com/locations/idaho/boise,
REF,SIPI CLINIC LLC DBA SOUTHERN IDAHO PAIN INSTITUTE,TWIN FALLS,ID,83301,13D1105419,thepaindoc.net,https://thepaindoc.net/,
REF,HEMATOLOGICS INC,BOISE,ID,83706,13D2159364,hematologics.com,https://hematologics.com/,
REF,AIR ST LUKE'S - TREASURE VALLEY,BOISE,ID,83705,13D2068835,stlukesonline.org,https://stlukesonline.org/en/specialties-services/air-st-lukes/,
REF,CSL PLASMA INC,NAMPA,ID,83651,13D2192339,cslplasma.com,https://www.cslplasma.com/center/505,
REF,IDAHO GASTROENTEROLOGY ASSOCIATES,NAMPA,ID,83687,13D2224264,idahogastro.com,https://idahogastro.com/,
REF,PATHOLOGY SERVICES PC,POST FALLS,ID,83854,13D2204921,pcidf.com,https://www.pcidf.com/,
REF,INCYTE PATHOLOGY - NORTHWEST SPECIALTY BRANCH,POST FALLS,ID,83854,13D2090203,incytepathology.com,https://incytepathology.com/,
REF,LABCORP POST FALLS,POST FALLS,ID,83854,13D2274131,locations.labcorp.com,https://locations.labcorp.com/id/post-falls/,
REF,SPEK DIAGNOSTICS,GARDEN CITY,ID,83714,13D2272086,spekdiagnostics.com,https://spekdiagnostics.com/,
REF,DEERFIELD DERMATOLOGY ASS,DEERFIELD,IL,60015,14D0412127,deerfielddermatology.com,https://deerfielddermatology.com/,
REF,CHICAGO DEPT OF PUBLIC HLTH - AUSTIN STI CLINIC,CHICAGO,IL,60651,14D0646583,chicago.gov,https://www.chicago.gov/city/en/depts/cdph/provdrs/infectious_disease/svcs/sti_hiv_resources.html,
REF,ST LUKE'S HOME BASED SERVICES,MERIDIAN,ID,83642,13D2315585,stlukesonline.org,https://stlukesonline.org/en/specialties-services/home-health/,
REF,ILLINOIS DEPARTMENT OF PUBLIC HEALTH -CHICAGO,CHICAGO,IL,60612,14D0691828,dph.illinois.gov,https://dph.illinois.gov/,
REF,"CSL PLASMA, INC",DAVENPORT,IA,52801,14D0664914,cslplasma.com,https://www.cslplasma.com/,
REF,HEALIX DIAGNOSTICS,IDAHO FALLS,ID,83404,13D2315547,healixdiag.com,https://healixdiag.com/,
REF,MEDSTAR LABORATORY INC,HILLSIDE,IL,60162,14D0945905,medstarlab.com,https://medstarlab.com/,
REF,"MEDICAL ASSAY LABORATORY, INC",DARIEN,IL,60561,14D1044662,medassay.com,https://medassay.com/,
REF,LABORATORY CORPORATION OF AMERICA,CHICAGO,IL,60631,14D1054938,locations.labcorp.com,https://locations.labcorp.com/il/chicago/,
REF,SEMANS DERMATOPATHOLOGY SERVICE,ROCHESTER,IL,62563,14D0982952,centercare.com,https://centercare.com/listing/semans-dermatopathology-service/,
REF,"CSL PLASMA, INC",MELROSE PARK,IL,60160,14D1049824,cslplasma.com,https://www.cslplasma.com/center/453,
REF,ILLINOIS DEPARTMENT OF PUBLIC HEALTH LABORATORY,CARBONDALE,IL,62901,14D0647032,dph.illinois.gov,https://dph.illinois.gov/contact-us.html,
REF,ACL CAC LAB,PARK RIDGE,IL,60068,14D1103190,advocatehealth.com,https://www.advocatehealth.com/locations/acl-lab-patient-service-center-park-ridge-60068,
REF,QUALITY LAB ONE,CHICAGO,IL,60631,14D2006925,qualitylabone.com,https://qualitylabone.com/,
REF,LAB EXPRESS CORPORATION,OAK LAWN,IL,60453,14D2042184,labexpresscorp.com,https://www.labexpresscorp.com/,
REF,M I LAB,LOMBARD,IL,60148,14D2064071,industrynet.com,https://www.industrynet.com/listing/3931195/mi-lab,
REF,BIOLIFE PLASMA SERVICES,BOLINGBROOK,IL,60440,14D2143383,biolifeplasma.com,https://www.biolifeplasma.com/locations/illinois/bolingbrook,
REF,"SPIRIPLEX, INC",LINCOLNSHIRE,IL,60069,14D2063316,spiriplex.com,https://spiriplex.com/,
REF,MIDWEST CTR FOR WOMENS HEALTHCARE LAB,LIBERTYVILLE,IL,60048,14D2093116,mcwhc.com,https://mcwhc.com/,
REF,HISTOLOGY CORP,LAKE BLUFF,IL,60044,14D2101871,sourcemp.com,https://www.facebook.com/KDHpathservices/,
REF,QUEST DIAGNOSTICS - FAIRFIELD COMMUNITY HEALTH,FAIRFIELD,IL,62837,14D2044263,questdiagnostics.com,https://www.questdiagnostics.com/contact-us/fqhc,
REF,"CSL PLASMA, INC",JOLIET,IL,60435,14D2148148,cslplasma.com,https://www.cslplasma.com/center/il/219-joliet,
REF,VIOS FERTILITY INSTITUTE CHICAGO WICKER PARK,CHICAGO,IL,60622,14D2118892,viosfertility.com,https://viosfertility.com/wicker-park-clinic/,
REF,"HEART TEAM, LLC, THE",ELGIN,IL,60123,14D2160986,heartteamllc.com,https://heartteamllc.com/,
REF,"CITILABS, INC",CHICAGO,IL,60659,14D2056591,citilabsinc.com,https://citilabsinc.com/,
REF,VIOS FERTILITY INSTITUTE-HOFFMAN ESTATES,HOFFMAN ESTATES,IL,60169,14D2164765,kindbody.com,https://kindbody.com/location/hoffman-estates-il/,
REF,"CSL PLASMA, INC",ROCKFORD,IL,61108,14D2134446,cslplasma.com,https://www.cslplasma.com/center/il/200-rockford,
REF,BIOLIFE PLASMA SERVICES LP,VILLA PARK,IL,60181,14D2170901,biolifeplasma.com,https://www.biolifeplasma.com/locations/illinois/villa-park,
REF,BIOLIFE PLASMA SERVICES L P,ADDISON,IL,60101,14D2173717,biolifeplasma.com,https://www.biolifeplasma.com/locations/illinois/addison,
REF,BIOLIFE PLASMA SERVICES L P,HARWOOD HEIGHTS,IL,60706,14D2189505,biolifeplasma.com,https://www.biolifeplasma.com/locations/illinois/harwood-heights,
REF,"CSL PLASMA, INC",HAZEL CREST,IL,60429,14D2076443,cslplasma.com,https://www.cslplasma.com/center/116,
REF,NEELYX LABS,WOOD DALE,IL,60191,14D2209971,neelyx.com,https://neelyx.com/,
REF,ILLINIOS TECH LABS INC,SKOKIE,IL,60076,14D2253709,testitl.com,https://testitl.com/,
REF,BIOLIFE PLASMA SERVICES LP,ROCKFORD,IL,61108,14D2255902,biolifeplasma.com,https://www.biolifeplasma.com/locations/illinois/rockford,
REF,"OAK PARK LAB, LLC",OAK PARK,IL,60302,14D2281361,oakparklab.com,https://oakparklab.com/,
REF,LABORATORY & PATHOLOGY DIAGNOSTICS,NAPERVILLE,IL,60540,14D2227207,labpathdx.com,https://www.labpathdx.com/,
REF,R & R CLINICAL LAB INC,NAPERVILLE,IL,60564,14D2209968,rrclinicallab.com,https://www.rrclinicallab.com/,
