src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
CHARLESTON AREA MEDICAL CENTER CANCER CENTER,camc.org,51D0877096,medical_director,621b9766c78fbd00015e6711,Eric Ma***z,Eric,(require direct fetch),"Medical Director, CAMC Wound Healing Center",,(require direct fetch)
CSL PLASMA INC,cslplasma.com,51D2125708,lab_director,61083d471df82d0001b52c6d,Jose Pi***a,Jose,(require direct fetch),Associate Director of Operations & Quality,,(require direct fetch)
MARSHALL HEALTH TEAYS VALLEY,marshallhealth.org,51D2126329,medical_director,67506fcd668ec90001966c73,Jacob Ki***e,Jacob,(require direct fetch),"CQO, MHN & Medical Director, HFCH",,(require direct fetch)
APPALACHIAN LABS OF WV,wvapplabs.com,51D2160356,lab_director,54a9d98d746869334a0ba41a,Kristen Wa***s,Kristen,(require direct fetch),Director of Operations,,(require direct fetch)
"TELOSTRAND LABORATORY WV, LLC",telostrand.com,51D2289968,ceo_owner,66fdd90c5e0d170001dd6d5c,Brian Ha***r,Brian,(require direct fetch),President & Founder,,(require direct fetch)
A2CL AURORA HEALTH CENTER - MENOMONEE FALLS,aurorahealthcare.org,52D0388478,ceo_owner,60e312e47743ac0001c79606,Jennifer Sc***g,Jennifer,(require direct fetch),President Southeast Wisconsin Area and President Aurora St. Luke’s Medical Center,,(require direct fetch)
FMCCP- TOWN HALL HEALTH CENTER,froedtert.com,52D0388485,ceo_owner,610d8bba93a9f4000145b591,Andres Go***z,Andres,(require direct fetch),"Vice President, Community Engagment and Chief Diversity Officer",,(require direct fetch)
A2CL AURORA HEALTH CENTER - GOOD HOPE RD,aurorahealthcare.org,52D0390360,ceo_owner,60e312e47743ac0001c79606,Jennifer Sc***g,Jennifer,(require direct fetch),President Southeast Wisconsin Area and President Aurora St. Luke’s Medical Center,,(require direct fetch)
A2CL AURORA HEALTH CENTER - MAYFAIR NORTH,aurorahealthcare.org,52D0391644,ceo_owner,60e312e47743ac0001c79606,Jennifer Sc***g,Jennifer,(require direct fetch),President Southeast Wisconsin Area and President Aurora St. Luke’s Medical Center,,(require direct fetch)
GHC-SCW CAPITOL CLINIC,ghcscw.com,52D0393663,ceo_owner,66f6906933222400013edc9b,Mark Hu***h,Mark,(require direct fetch),President and Chief Executive Officer,,(require direct fetch)
GHC-SCW CAPITOL CLINIC,ghcscw.com,52D0393663,medical_director,54c276aa7468691639c1b99a,Matthew Sw***d,Matthew,(require direct fetch),Senior Medical Director,,(require direct fetch)
BELLIN HEALTH MARINETTE LABORATORY,bellin.org,52D0394498,ceo_owner,66f6accd0c27bf0001e3df41,Molly Va***t,Molly,(require direct fetch),President of The Bellin Health Foundation,,(require direct fetch)
BELLIN HEALTH MARINETTE LABORATORY,bellin.org,52D0394498,medical_director,57df6186a6da980b4a08da14,Daniel Ko***r,Daniel,(require direct fetch),Medical Director,,(require direct fetch)
A2CL AURORA HEALTH CENTER - EDGERTON,aurorahealthcare.org,52D0665264,ceo_owner,60e312e47743ac0001c79606,Jennifer Sc***g,Jennifer,(require direct fetch),President Southeast Wisconsin Area and President Aurora St. Luke’s Medical Center,,(require direct fetch)
"CSL PLASMA, INC",cslplasma.com,52D0672101,lab_director,61083d471df82d0001b52c6d,Jose Pi***a,Jose,(require direct fetch),Associate Director of Operations & Quality,,(require direct fetch)
